date,rank,easy,medium,hard,total_solved
2026-04-05,3000000,0,0,0,0
2026-04-07,,6,1,0,7
2026-04-08,,12,3,0,15
2026-04-09,,13,3,1,17
2026-04-10,,24,10,2,36
2026-04-13,,24,11,2,37
2026-04-14,,33,12,2,47
2026-04-15,,33,15,3,51
2026-04-16,,34,18,4,56
2026-04-17,,39,18,4,61
2026-04-18,2286800,41,19,4,64
2026-04-19,2176600,,,,
2026-04-20,2084955,,,,
2026-04-21,2086134,41,19,4,64
2026-04-22,2087375,41,19,4,64
2026-04-23,2089722,41,22,4,67
2026-04-24,1985165,41,22,6,69
2026-04-25,1946478,44,22,6,72
2026-04-26,1930000,44,22,6,72
2026-04-27,1929004,47,22,6,75
2026-04-28,1875048,47,22,6,75
2026-04-29,1875048,47,22,6,75
2026-04-30,1877074,47,22,6,75
2026-05-01,1859839,47,23,6,76
2026-05-02,1860910,47,23,6,76
2026-05-03,1744576,52,25,6,83
2026-05-04,1670950,53,29,6,88
